nombre_archivo,tipo,fecha,codigo_participante,duracion,codec,tamano_bytes,sha256
2026-05-14-entrevista-EV01.mp4,Video,2026-05-14,EV01,00:06:17,H.264/AAC,77938787,38f7b53ea2a2bcc78878cc0482a6db7698498e7d45a9b590018f8ba3eb296d0a
2026-06-30_entrevista_EV02.mp4,Video,2026-06-30,EV02,00:12:16,H.264/AAC,311717129,7b59944c3d80924f680645230e4549a853bbd56cf7d814d99f0949dc8ef186e8
2026-07-13_entrevista-EV03.mp4,Video,2026-07-13,EV03,00:08:31,H.264/AAC,269620272,a950753992d924b92b8eb7302454914fd1897f70419fba1b6abe444dedf71843
2026-07-13_entrevista-EV04.mp4,Video,2026-07-13,EV04,00:06:10,H.264/AAC,194852573,ef14a456f234194973f85f72c6a93e58863c3514739e1b569d372f7a050bb561
2026-07-21_entrevista-EV05.mp4,Video,2026-07-21,EV05,00:24:58,H.264/AAC,790510626,f40cb8cd2bf78b14ebbd2bc1be4827621cff0defe0ef7dbb19a3fb048a5898f6
2026-07-22_entrevista-EV06.mp4,Video,2026-07-22,EV06,00:29:03,H.264/AAC,700603251,cb18ab0e80c32e93611ed5d056594e0d4c48b7ffc013f300189d274da51c02a4
2026-07-24_entrevista_EV07.mp4,Video,2026-07-24,EV07,00:18:00,H.264/AAC,569269495,914e7e8fc56e5f89d6941c1f67f92cbbdf9e31db6267060055be9812372b6d1b
2026-07-27_entrevista_EV08.mp4,Video,2026-07-27,EV08,00:21:44,H.264/AAC,1504606651,9d6c236e8bc7376326168ae1c74bd75d7aa0daa65ec0e55a4b03533344bda956
2026-07-30_entrevista_EV11.mp4,Video,2026-07-30,EV11,00:19:37,H.264/AAC,620678575,97443fa1c1dd89bbb16be44dc1829f0580997985d3e04d1217b8259f595951bc
2026-05-14-audio_entrevista-EV01.wav,Audio,2026-05-14,EV01,00:06:17,PCM,12062926,10afee678c3ec214caa0534517811d8f06f67e8a707039f10718f34d94475c97
2026-06-30_audio_entrevista_EV02.wav,Audio,2026-06-30,EV02,00:12:16,PCM,23560952,b3aa789b99f86b81e0a4836768a6070725504602abad80519751a85ec0a20c77
2026-07-13_audio_entrevista-EV08.wav,Audio,2026-07-13,EV08,00:08:31,PCM,16348738,1ac0725770e2615720bddbb215f0aae9da1d20ec0136fd6210f40200433de97b
2026-07-22_audio_entrevista-EV11.wav,Audio,2026-07-22,EV11,00:29:02,PCM,55759502,f61317b736f1b2425f25ba3f0b2555813fdc2a8416afb2f05a986bd8f833029c
2026-07-24_audio_entrevista_EV12.wav,Audio,2026-07-24,EV12,00:18:00,PCM,34564328,82bd71dd848a2b2456501bb5f6828055f6331a5da12126d8f04abfd32a2044c2
2026-07-27_audio_entrevista_EV13.mp3,Audio,2026-07-27,EV13,PENDIENTE,MP3,20822133,a404a34bcf6f496ba3c717efd50e6909c33faa82ad8032d836fc83a2c142ef8a
2026-05-14_ Firma_Consentimeinto_ev01.pdf,Consentimiento,2026-05-14,EV01,N/A,PDF,3354190,ba371c73f1fd6132712294d972133f2605f14c86462d4eb9513fdd104d2a0258
2026-06-30_Firma_Consentimeinto_ev02.pdf,Consentimiento,2026-06-30,EV02,N/A,PDF,3214659,0ea85b2e6f266606a829027423fca3487f4dccb2ed816d4e4c909d00c0042b4a
2026-07-13_Firma_Consentimeinto_ev03.pdf,Consentimiento,2026-07-13,EV03,N/A,PDF,249153,9538102d5544ac1a89daa4e3c78431e18773ffcc6d7bd62010ee5044221a5deb
2026-07-13_Firma_Consentimeinto_ev04.pdf,Consentimiento,2026-07-13,EV04,N/A,PDF,244377,9e9cf9430c8452d4bcd748dd583132b68988fd336ad079c29373179bbcd9d6c6
2026-07-21_Firma_Consentimeinto_ev05.pdf,Consentimiento,2026-07-21,EV05,N/A,PDF,246955,2cffda5dc0e94a7fc3356fed49f30688fde122b3be2a0fc365236a9d99c7fe84
2026-07-22_Firma_Consentimeinto_ev06.pdf,Consentimiento,2026-07-22,EV06,N/A,PDF,247872,f4354b4d7e5f285c964632f9c0e21b28123f5cdc886dddaadcaab4ed23f6a62d
2026-07-24_Firma_Consentimeinto_ev07.pdf,Consentimiento,2026-07-24,EV07,N/A,PDF,253751,fa6c157bcb0e709771194bba13b7bfc37aa9441bb85b719d8c212317775b3e43
2026-07-27_Firma_Consentimiento_EV08.pdf,Consentimiento,2026-07-27,EV08,N/A,PDF,246299,92356318261d9dcccf99a59362c328cbc6e6e826182d9365c813d33df32ad738
2026-07-28_Firma_Consentimiento_EV09.pdf,Consentimiento,2026-07-28,EV09,N/A,PDF,246659,3f0eb5e21f0fc84efbeb8752836f2c63ed3e3381c094ab29f5d28a32a9229a25
2026-07-30_Firma_Consentimiento_EV11.pdf,Consentimiento,2026-07-30,EV11,N/A,PDF,821502,634dc1963e8a8fa38b2fd81c269a870aecd78929ba087048dcba6635751ec63a
